Location,Total
Abdullahpur,28
Aftabnagar,17
Adabor,97
Agargaon,120
Ahmed Nagar,4
Ahmedabag,14
Aminbazar,2
Amlapara,2
Airport,10
Arambagh,11
Armanitola,7
Asad Gate,1
Ashulia,27
Ashkona,4
Azimpur,106
Babu Bazar,162
"BahadurBazar",1
Badda,238
Baily Road,31
Bakshibazar,16
Badam Toli,2
Baridhara,54
Banasree,92
Banani,104
Bangla bazar,7
Banglamotor,18
Bangshal,124
Baganbari,2
Banianagar,1
Basabo,166
Bijoynagar,2
Bashundhora,102
Begunbari,4
Begum Bazar,2
Beribadh,1
Bokshi Bazar,5
Bosila,5
Buet Area,1
Cantonment,52
Central Road,6
Chankharpool,50
Dakshinkhan,18
Dhakkeshori,1
Demra,101
Dhanmondi,402
Dhalpur,21
Dholaipar,13
Dholaikhal,2
Doyaganj,3
"ElephantRoad",44
English Road,5
Eskaton,76
Farasganj,2
Faridabad,5
Faridabagh,7
Fakirapool,12
Fulbaria,20
Foridabad,2
Forashganj,2
Farmgate,67
Gendaria,165
Gausia,13
Gabtoli,7
Golartek,1
Goran,35
Golapbagh,22
Gonoktuli,5
Gopibag,43
Gulbag,2
Gudaraghat,1
Green Road,75
Gulistan,13
Gulshan,209
Hatir jhil,9
Hajipara,7
Hatkhula,1
Hatirpool,51
Hazaribagh,108
Ibrahimpur,15
Indira Road,6
Islambagh,11
Islampur,13
Jinjira,1
Jigatala,41
Jurain,68
Kafrul,62
Kallyanpur,82
Kalabagan,76
Kakrail,303
Kathalbagan,50
Kamalapur,46
Kanchpur,4
kajla,4
"KamrangirChar",63
Katashpur,2
Kazi para,20
Kawran Bazar,31
Koratitola,1
Konapara,7
Kosaituli,1
Kochukhet,9
Khilgaon,262
Khilkhet,29
Koltabazar,1
Kodomtoli,43
Kotowali,41
Kutubkhali,8
Kuril,14
Lalkuthi,5
Lalmatia,77
Lalbagh,237
Laxmibazar,30
Madartek,12
Malitola,5
Malibagh,198
Matikata,5
Manda,59
Maniknagar,58
Manikdi,1
Matuail,23
Merul,1
Meradia,11
Mintu Road,5
Mirpur-1,89
Mirpur-2,34
Mirpur-6,18
Mirpur 7,6
Mirpur-10,29
Mirpur-11,55
Mirpur-12,80
Mirpur-13,18
Mirpur-14,49
Mitford,53
Mogbazar,302
Monipur,10
Mohakhali,494
Mohonpur,8
"Mohammadpur",496
Motijeel,70
Mouchak,4
Mugda,466
Nawabpur,7
Nazirabazar,10
Nandi Para,13
Nayapaltan,2
Narinda,46
New market,18
Niketon,24
Nilkhet,6
Nakhalpara,52
Nayabazar,60
Neemtoli,11
Nikunja,10
Panthapath,37
Pallabi,37
Paikpara,20
Paltan,88
Pirerbagh,11
Postogola,13
Poribagh,27
Purana Paltan,27
Rajarbagh,226
Rampura,260
Ramna,98
